X,Y,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,ZIPCODE,PHONE,GRADES,TYPE,TYPE_DESC,TYPE_DESC2,DIST_NAME,DIST_CODE,MA_ADDR_ID
232044.657799996,920927.906800002,13,02460305,Arthur W Coolidge Middle School,89 Birch Meadow Drive,Reading,READING,01867,781-942-9158,"06,07,08",MID,Public Middle,,Reading,02460000,2606105
216234.0744,934341.257199999,14,01600330,Henry J Robinson Middle School,110 June Street,Lowell,LOWELL,01850,978-937-8974,"05,06,07,08",MID,Public Middle,,Lowell,01600000,1986905
209819.86,914205.401799999,15,00670825,Nashoba Brooks School,200 Strawberry Hill Road,Concord,CONCORD,01742,978-369-4591,"PK,K,01,02,03,04,05,06,07,08",PRI,Private,,,,2352988
177904.841200002,916001.003400002,16,01530005,Lincoln School,100 DeCicco Drive,Leominster,LEOMINSTER,01453,978-534-7761,PK,ELE,Public Elementary,,Leominster,01530000,1586500
65214.2749999985,914652.676600002,17,06350505,Wahconah Regional High School,150 Windsor Road,Dalton,DALTON,01226,413-684-1330,"09,10,11,12",SEC,Public Secondary,,Central Berkshire,06350000,153219
214314.1976,867843.973,18,03500003,Delaney School,120 Taunton Street,Wrentham,WRENTHAM,02093,508-384-5430,"PK,K,01,02,03",ELE,Public Elementary,,Wrentham,03500000,1841216
247796.386200003,895019.468,19,01420505,Hull High School,180 Main Street,Hull,HULL,02045,781-925-3000,"09,10,11,12",SEC,Public Secondary,,Hull,01420000,3461739
215408.324,932324.148400001,59,04560050,Lowell Community Charter Public School,206 Jackson Street,Lowell,LOWELL,01852,978-323-0800,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,,Lowell Community Charter,04560000,1978735
268146.542400002,857250.0768,60,02390005,Cold Spring School,25 Alden Street,Plymouth,PLYMOUTH,02360,508-830-4335,"K,01,02,03,04,05",ELE,Public Elementary,,Plymouth,02390000,2176192
206494.702,871625.0088,61,08780605,Tri-County Regional Vocational Technical High School,147 Pond Street,Franklin,FRANKLIN,02038,508-528-5400,"09,10,11,12",VOC,Public Voc/Tech/Ag Reg'l HS,,Tri County RVT,08780000,2100285
226453.270400003,938544.6402,62,01490020,James F Hennessey School,122 Hancock Street,Lawrence,LAWRENCE,01841,978-975-5950,"PK,K,01,02",ELE,Public Elementary,,Lawrence,01490000,2111326
249128.955399998,817954.616,63,02010415,Roosevelt Middle School,119 Frederick Street,New Bedford,NEW BEDFORD,02744,508-997-4511,"06,07,08",MID,Public Middle,,New Bedford,02010000,4075202
301236.602200001,822688.445,64,00200890,St. John Paul II High School & St. Francis Xavier Preparatory School,120 High School Road,Hyannis,BARNSTABLE,02601,508-862-6336,"05,06,07,08,09,10,11,12",PRI,Private,,,,1235976
109904.732799999,927316.367400002,65,01140010,Federal Street School,125 Federal Street,Greenfield,GREENFIELD,01301,413-772-1380,"K,01,02,03,04",ELE,Public Elementary,,Greenfield,01140000,220746
247843.6888,920354.3488,66,02290010,Thomas Carroll School,60 Northend Street,Peabody,PEABODY,01960,978-536-4200,"K,01,02,03,04,05",ELE,Public Elementary,,Peabody,02290000,3712485
266594.522399999,856636.4782,67,04830305,Rising Tide Charter Public School,59 Armstrong Road,Plymouth,PLYMOUTH,02360,508-747-2620,"05,06,07,08,09,10,11,12",CHA,Charter,,Rising Tide Charter,04830000,2182323
203121.482199997,924564.556400001,68,03260025,Col. John Robinson School,60 Concord Road,Westford,WESTFORD,01886,978-692-5586,"PK,K,01,02",ELE,Public Elementary,,Westford,03260000,1474003
237865.940399997,905608.8182,69,00570505,Chelsea High School,299 Everett Avenue,Chelsea,CHELSEA,02150,617-466-5000,"09,10,11,12",SEC,Public Secondary,,Chelsea,00570000,3686222
181910.770400003,927645.443399999,70,01620505,Lunenburg High School,1079 Massachusetts Avenue,Lunenburg,LUNENBURG,01462,978-582-4115,"09,10,11,12",SEC,Public Secondary,,Lunenburg,01620000,1651628
247311.482799999,821735.203400001,71,02010115,John Avery Parker School,705 County Street,New Bedford,NEW BEDFORD,02740,508-997-4511,"PK,K,01,02,03,04,05",ELE,Public Elementary,,New Bedford,02010000,4092439
250562.787600003,881339.509,72,01310410,Hingham Middle School,1103 Main Street,Hingham,HINGHAM,02043,781-741-1550,"06,07,08",MID,Public Middle,,Hingham,01310000,3447581
265493.234200001,849415.0682,73,02390011,Federal Furnace School,860 Federal Furnace Road,Plymouth,PLYMOUTH,02360,508-830-4360,"K,01,02,03,04,05",ELE,Public Elementary,,Plymouth,02390000,2194647
238725.091799997,872767.5308,74,00440078,Oscar F Raymond School,125 Oak Street,Brockton,BROCKTON,02301,508-580-7364,"K,01,02,03,04,05",ELE,Public Elementary,,Brockton,00440000,3268707
234240.446599998,924999.926800001,75,02170505,North Reading High School,189 Park Street,North Reading,NORTH READING,01864,978-664-7800,"09,10,11,12",SEC,Public Secondary,,North Reading,02170000,3094126
254027.344599999,925581.369399998,76,00300010,Centerville Elementary School,17 Hull Street,Beverly,BEVERLY,01915,978-921-6120,"K,01,02,03,04",ELE,Public Elementary,,Beverly,00300000,4161465
248737.2936,895313.887,77,01420015,Lillian M Jacobs School,180 Harborview Road,Hull,HULL,02045,781-925-4400,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Hull,01420000,3461733
59413.1664,910734.297800001,78,02360100,Williams School,50 Bushey Road,Pittsfield,PITTSFIELD,01201,413-448-9680,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Pittsfield,02360000,191683
234037.287,889071.391,79,01890505,Milton High School,25 Gile Road,Milton,MILTON,02186,617-696-4470,"PK,09,10,11,12",SEC,Public Secondary,,Milton,01890000,2785412
56622.7550000027,896602.395,80,01500505,Lee Middle and High School,300 Greylock Street,Lee,LEE,01238,413-243-2781,"07,08,09,10,11,12",SEC,Public Secondary,,Lee,01500000,643510
116583.3292,869483.717599999,81,00870010,Mapleshade School,175 Mapleshade Avenue,East Longmeadow,EAST LONGMEADOW,01028,413-525-5485,"03,04,05",ELE,Public Elementary,,East Longmeadow,00870000,161592
143126.315,915122.029800002,82,02340005,Petersham Center School,31 Spring Street,Petersham,PETERSHAM,01366,978-724-3363,"K,01,02,03,04,05,06",ELE,Public Elementary,,Petersham,02340000,4213494
175129.992200002,895138.119,83,04450105,Abby Kelley Foster Charter Public School,10 New Bond Street,Worcester,WORCESTER,01606,508-854-8400,"K,01,02,03,04,05,06,07,08,09,10,11,12",CHA,Charter,,Abby Kelley Foster Charter,04450000,1377765
163676.2368,875613.0722,84,06580030,Heritage School,34 Oxford Road,Charlton,CHARLTON,01507,508-248-4884,"02,03,04",ELE,Public Elementary,,Dudley-Charlton,06580000,1130041
212676.868600003,911428.755800001,85,00670005,Alcott School,93 Laurel Street,Concord,CONCORD,01742,978-318-9544,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Concord,00670000,2356374
228540.9234,887631.549,86,00730030,Oakdale School,147 Cedar Street,Dedham,DEDHAM,02026,781-310-6000,"01,02,03,04,05",ELE,Public Elementary,,Dedham,00730000,2471036
213884.381,842812.0328,87,02650505,Seekonk High School,261 Arcade Avenue,Seekonk,SEEKONK,02771,508-336-7272,"09,10,11,12",SEC,Public Secondary,,Seekonk,02650000,3190919
118598.315,867290.7038,88,00870015,Mountain View School,77 Hampden Road,East Longmeadow,EAST LONGMEADOW,01028,413-525-5490,"03,04,05",ELE,Public Elementary,,East Longmeadow,00870000,166514
215211.133199997,838577.257,89,02650007,George R Martin School,445 Cole Street,Seekonk,SEEKONK,02771,508-336-7558,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Seekonk,02650000,3194066
170055.316200003,888253.106199998,90,03480423,Sullivan Middle School,140 Apricot Street,Worcester,WORCESTER,01603,508-799-3350,"06,07,08",MID,Public Middle,,Worcester,03480000,1396732
56229.4714,912145.599599998,91,02360505,Pittsfield High School,300 East Street,Pittsfield,PITTSFIELD,01201,413-499-9535,"09,10,11,12",SEC,Public Secondary,,Pittsfield,02360000,178796
55081.996,901625.789799999,92,01520505,Lenox Memorial High School,197 East Street,Lenox,LENOX,01240,413-637-5560,"06,07,08,09,10,11,12",SEC,Public Secondary,,Lenox,01520000,653418
105638.2786,898867.4914,93,02100020,Jackson Street School,120 Jackson Street,Northampton,NORTHAMPTON,01060,413-587-1510,"K,01,02,03,04,05",ELE,Public Elementary,,Northampton,02100000,693372
247634.986400001,818844.211800002,94,02010050,John B Devalles School,120 Katherine Street,New Bedford,NEW BEDFORD,02744,508-997-4511,"K,01,02,03,04,05",ELE,Public Elementary,,New Bedford,02010000,4063396
174771.001400001,930155.347199999,95,00970505,Fitchburg High School,140 Arn-How Farm Road,Fitchburg,FITCHBURG,01420,978-345-3240,"PK,09,10,11,12",SEC,Public Secondary,,Fitchburg,00970000,1344805
318348.512199998,864079.055799998,96,03000005,Truro Central School,317 Route 6,Truro,TRURO,02666,508-487-1558,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,,Truro,03000000,1857404
204035.402,907969.2784,97,01740505,Maynard High School,1 Tiger Drive,Maynard,MAYNARD,01754,978-897-8891,"09,10,11,12",SEC,Public Secondary,,Maynard,01740000,1933275
227723.898400001,940507.969799999,20,01490040,Francis M Leahy School,100 Erving Avenue,Lawrence,LAWRENCE,01841,978-975-5959,"01,02,03,04,05",ELE,Public Elementary,,Lawrence,01490000,2113402
239431.828199998,907808.508400001,21,02480305,Susan B Anthony Middle School,107 Newhall Street,Revere,REVERE,02151,781-388-7520,"06,07,08",MID,Public Middle,,Revere,02480000,3537730
223725.286600001,856653.4102,22,02180305,Norton Middle School,215 West Main Street,Norton,NORTON,02766,508-285-0140,"06,07,08",MID,Public Middle,,Norton,02180000,3119530
123506.255800001,911307.5002,23,02720005,Shutesbury Elementary School,23 West Pelham Road,Shutesbury,SHUTESBURY,01072,413-259-1212,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,,Shutesbury,02720000,1046538
231616.716,842841.7326,24,06500005,Dighton Elementary School,1250 Somerset Avenue,Dighton,DIGHTON,02715,508-669-4245,"PK,K,01,02,03,04",ELE,Public Elementary,,Dighton-Rehoboth,06500000,2447925
230168.593199998,852032.826400001,25,02930008,Joseph C Chamberlain School,480 Norton Avenue,Taunton,TAUNTON,02780,508-821-3216,"K,01,02,03,04",ELE,Public Elementary,,Taunton,02930000,2679327
228287.953,910636.121199999,26,03440045,Ambrose Elementary School,27 High Street,Winchester,WINCHESTER,01890,781-721-7012,"K,01,02,03,04,05",ELE,Public Elementary,,Winchester,03440000,4176013
255987.962399997,866222.301600002,27,02310003,Bryantville Elementary School,29 Gurney Drive,Pembroke,PEMBROKE,02359,781-293-5411,"K,01,02,03,04,05,06",ELE,Public Elementary,,Pembroke,02310000,3128346
239957.102,922099.202199999,28,02290045,West Memorial School,15 Bow Street,Peabody,PEABODY,01960,978-536-5850,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Peabody,02290000,3712034
120896.189400002,875153.270599999,29,06800050,Stony Hill School,675 Stony Hill Road,Wilbraham,WILBRAHAM,01095,413-599-1950,"02,03",ELE,Public Elementary,,Hampden-Wilbraham,06800000,961182
245633.079599999,920036.21,30,02290015,Center School,18 Irving Street,Peabody,PEABODY,01960,978-536-5475,"K,01,02,03,04,05",ELE,Public Elementary,,Peabody,02290000,3723026
114396.903,926838.6776,31,06740505,Turners Fall High School,222 Turnpike Road,Montague,MONTAGUE,01351,413-863-7200,"09,10,11,12",SEC,Public Secondary,,Gill-Montague,06740000,670482
224375.976800002,883777.794,32,02200020,John P Oldham School,165 Prospect Street,Norwood,NORWOOD,02062,781-769-2417,"01,02,03,04,05",ELE,Public Elementary,,Norwood,02200000,3102349
240458.7042,863404.926,33,03230305,Howard School,70 Howard Street,West Bridgewater,WEST BRIDGEWATER,02379,508-894-1250,"04,05,06",ELE,Public Elementary,,West Bridgewater,03230000,2906093
218193.584200002,851461.6248,34,00160320,Wamsutta Middle School,300 Locust Street,Attleboro,ATTLEBORO,02703,508-223-1540,"05,06,07,08",MID,Public Middle,,Attleboro,00160000,2961954
252276.848399997,875935.779199999,35,01220004,Cedar Elementary School,265 Cedar Street,Hanover,HANOVER,02339,781-878-7228,"PK,K,01",ELE,Public Elementary,,Hanover,01220000,3438143
208246.076399997,898084.504799999,36,01000302,Cameron Middle School,215 Elm Street,Framingham,FRAMINGHAM,01701,508-879-2290,"06,07,08",MID,Public Middle,,Framingham,01000000,4122188
111207.913599998,876383.020799998,37,02810205,The Springfield Renaissance School,1170 Carew Street,Springfield,SPRINGFIELD,01104,413-750-2929,"06,07,08,09,10,11,12",SEC,Public Secondary,,Springfield,02810000,581639
264876.5418,871912.788199998,38,01710010,South River School,59 Hatch Street,Marshfield,MARSHFIELD,02050,781-834-5030,"K,01,02,03,04,05",ELE,Public Elementary,,Marshfield,01710000,4213237
163668.634,875430.1164,39,06580310,Charlton Middle School,2 Oxford Road,Charlton,CHARLTON,01507,508-248-1423,"05,06,07,08",MID,Public Middle,,Dudley-Charlton,06580000,1127610
110319.221600004,878144.235800002,40,00610505,Chicopee High School,820 Front Street,Chicopee,CHICOPEE,01020,413-594-3437,"09,10,11,12",SEC,Public Secondary,,Chicopee,00610000,133472
112287.553199999,867745.351799998,41,01590505,Longmeadow High School,95 Grassy Gutter Road,Longmeadow,LONGMEADOW,01106,413-565-4220,"09,10,11,12",SEC,Public Secondary,,Longmeadow,01590000,662116
223066.271399997,832512.8594,42,02920020,Joseph G Luther School,100 Pearse Road,Swansea,SWANSEA,02777,508-675-7499,"03,04,05",ELE,Public Elementary,,Swansea,02920000,2701624
108824.719,928927.457,43,01140005,The Academy of Early Learning at North Parish,1 Place Terrace,Greenfield,GREENFIELD,01301,413-772-1390,PK,ELE,Public Elementary,,Greenfield,01140000,221091
215605.9296,932754.135400001,44,04580505,Lowell Middlesex Academy Charter School,67 Middle Street,Lowell,LOWELL,01852,978-656-3165,"09,10,11,12",CHA,Charter,,Lowell Middlesex Academy Charter,04580000,1997359
114272.898400001,870914.823,45,04920005,Martin Luther King Jr. Charter School of Excellence,285 Dorset Street,Springfield,SPRINGFIELD,01108,413-214-7806,"K,01,02,03,04,05",CHA,Charter,,Martin Luther King Jr. Charter School of Excellence,04920000,577064
241885.133599997,941864.6294,46,01050005,Perley Elementary School,51 North Street,Georgetown,GEORGETOWN,01833,978-352-5780,PK,ELE,Public Elementary,,Georgetown,01050000,2290280
224847.797600001,833806.6886,47,02920505,Joseph Case High School,70 School Street,Swansea,SWANSEA,02777,508-675-7483,"09,10,11,12",SEC,Public Secondary,,Swansea,02920000,2700943
224724.700599998,830548.9516,48,02920015,Gardner School,10 Church Street,Swansea,SWANSEA,02777,508-675-7899,"K,01,02",ELE,Public Elementary,,Swansea,02920000,2699900
236951.5352,908035.347,49,00930038,Lafayette School,117 Edith Street,Everett,EVERETT,02149,617-394-2450,"K,01,02,03,04,05,06,07,08",ELE,Public Elementary,,Everett,00930000,3507458
219182.590599999,878179.708,50,03070002,Daniel Feeney Preschool Center,415 Elm Street,Walpole,WALPOLE,02081,508-660-7374,PK,ELE,Public Elementary,,Walpole,03070000,2707311
114396.903,926838.6776,51,06740310,Great Falls Middle School,224 Turnpike Road,Montague,MONTAGUE,01351,413-863-7300,"06,07,08",MID,Public Middle,,Gill-Montague,06740000,4170411
177421.134400003,896141.3972,52,03480822,Alhuda Academy,248 East Mountain Street,Worcester,WORCESTER,01606,508-854-4700,"PK,K,01,02,03,04,05,06,07,08",PRI,Private,,,,1412759
212337.611199997,913764.166200001,53,00670850,Fenn School,516 Monument Street,Concord,CONCORD,01742,978-369-5800,"04,05,06,07,08,09",PRI,Private,,,,2352318
225126.092,925761.468600001,54,02950025,Louise Davy Trahan School,12 Salem Road,Tewksbury,TEWKSBURY,01876,978-640-7870,"03,04",ELE,Public Elementary,,Tewksbury,02950000,4213979
228449.315800004,922298.271400001,55,03420015,Wildwood School,182 Wildwood Street,Wilmington,WILMINGTON,01887,978-694-6010,"PK,K",ELE,Public Elementary,,Wilmington,03420000,2652723
137104.992600001,889501.255600002,56,03090020,Stanley M Koziol Elementary School,4 Gould Road,Ware,WARE,01082,413-967-6236,"PK,K,01,02,03",ELE,Public Elementary,,Ware,03090000,1003108
193535.347599998,864680.374200001,57,06220010,Millville Elementary School,122 Berthelette Way,Millville,MILLVILLE,01529,508-876-0177,"PK,K,01",ELE,Public Elementary,,Blackstone-Millville,06220000,1708902
239410.709399998,870353.747200001,58,00440080,Frederick Douglass Academy,175 Warren Avenue,Brockton,BROCKTON,02301,508-580-7033,"06,07,08,09,10,11,12",SEC,Public Secondary,,Brockton,00440000,3278046
234077.105400003,949315.919799998,136,01280080,Walnut Square School,645 Main Street,Haverhill,HAVERHILL,01830,978-374-3471,"K,01,02",ELE,Public Elementary,,Haverhill,01280000,2231985
249312.7412,952263.202199999,137,02040005,Francis T Bresnahan Elementary School,333 High Street,Newburyport,NEWBURYPORT,01950,978-465-4431,"PK,K,01,02,03",ELE,Public Elementary,,Newburyport,02040000,4170815
241072.691799998,885154.323800001,138,00400005,Hollis School,482 Washington Street,Braintree,BRAINTREE,02184,781-380-0120,"K,01,02,03,04",ELE,Public Elementary,,Braintree,00400000,2399072
110046.707,899543.824200001,139,01170505,Hopkins Academy,131 Russell Street,Hadley,HADLEY,01035,413-584-1106,"07,08,09,10,11,12",SEC,Public Secondary,,Hadley,01170000,249912
246632.212,955518.682799999,140,00070013,Amesbury Middle School,220 Main Street,Amesbury,AMESBURY,01913,978-388-0515,"05,06,07,08",MID,Public Middle,,Amesbury,00070000,4211086
155603.089199997,938726.814199999,141,03430040,Memorial School,32 Elmwood Road,Winchendon,WINCHENDON,01475,978-616-1501,"K,01,02",ELE,Public Elementary,,Winchendon,03430000,948192
239753.229400001,868141.485,142,00440400,Huntington Alternative School,1121 Warren Avenue,Brockton,BROCKTON,02301,508-580-7203,"K,01,02,03,04,05,06,07,08,09,10,11,12",SEC,Public Secondary,,Brockton,00440000,3261378
220424.278399996,844202.4826,143,06500310,Dorothy L Beckwith School,330R Winthrop Street,Rehoboth,REHOBOTH,02769,508-252-5080,"05,06,07,08",MID,Public Middle,,Dighton-Rehoboth,06500000,3155523
206436.3288,928684.0086,144,03260015,Nabnasset School,99 Plain Road,Westford,WESTFORD,01886,978-692-5583,"PK,K,01,02",ELE,Public Elementary,,Westford,03260000,1471947
233295.000600003,904109.3026,145,02740510,Full Circle High School,81 Highland Ave,Somerville,SOMERVILLE,02143,617-629-5640,"09,10,11,12",SEC,Public Secondary,,Somerville,02740000,3222555
236863.517800003,920835.9584,146,01640405,Lynnfield Middle School,505 Main Street,Lynnfield,LYNNFIELD,01940,781-334-5810,"05,06,07,08",MID,Public Middle,,Lynnfield,01640000,3561875
251587.199600004,820803.555,147,00940030,Leroy Wood School,60 Sconticut Neck Road,Fairhaven,FAIRHAVEN,02719,508-979-4073,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Fairhaven,00940000,3996272
207777.015799999,871245.707,148,01010030,Oak Street Elementary School,224 Oak Street,Franklin,FRANKLIN,02038,508-541-7890,"K,01,02,03,04,05",ELE,Public Elementary,,Franklin,01010000,2100522
318917.185,835590.408,149,00410010,Eddy Elementary School,2298 Main Street,Brewster,BREWSTER,02631,508-896-4531,"03,04,05",ELE,Public Elementary,,Brewster,00410000,2277483
213765.574600004,843883.851199999,150,02650015,Mildred Aitken School,165 Newman Avenue,Seekonk,SEEKONK,02771,508-336-5230,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Seekonk,02650000,3191671
243125.802599996,921654.298599999,151,02290510,Peabody Veterans Memorial High School,485 Lowell Street,Peabody,PEABODY,01960,978-536-4500,"09,10,11,12",SEC,Public Secondary,,Peabody,02290000,3716230
149373.616599999,905732.719,152,07530505,Quabbin Regional High School,800 South Street,Barre,BARRE,01005,978-355-4651,"09,10,11,12",SEC,Public Secondary,,Quabbin,07530000,1022162
236411.485799998,906034.5592,153,00930010,Sumner G Whittier School,337 Broadway,Everett,EVERETT,02149,617-394-2410,"K,01,02,03,04,05,06,07,08",ELE,Public Elementary,,Everett,00930000,3510850
223380.008400001,885217.054200001,154,03350050,Westwood Integrated Preschool,200 Nahatan Street,Westwood,WESTWOOD,02090,781-326-7500,PK,ELE,Public Elementary,,Westwood,03350000,2912649
264559.985200003,855253.972199999,174,02390047,West Elementary School,170 Plympton Road,Plymouth,PLYMOUTH,02360,508-830-4350,"K,01,02,03,04,05",ELE,Public Elementary,,Plymouth,02390000,2181324
247534.968400002,823457.5524,175,04960305,Global Learning Charter Public School,190 Ashley Boulevard,New Bedford,NEW BEDFORD,02746,508-991-4105,"05,06,07,08,09,10,11,12",CHA,Charter,,Global Learning Charter,04960000,4070309
225593.011,922063.9782,176,03420005,Boutwell School,17 Boutwell Street,Wilmington,WILMINGTON,01887,978-694-6070,"PK,K",ELE,Public Elementary,,Wilmington,03420000,2655292
246656.0726,820486.216600001,177,02010075,Ellen R Hathaway School,256 Court Street,New Bedford,NEW BEDFORD,02740,508-997-4511,"PK,K,01,02,03,04,05",ELE,Public Elementary,,New Bedford,02010000,4071902
225593.011,922063.9782,178,03420080,West Intermediate School,22 Carter Lane,Wilmington,WILMINGTON,01887,978-694-6050,"04,05",ELE,Public Elementary,,Wilmington,03420000,4175966
220838.389200002,922323.943799999,179,00310310,Locke Middle School,110 Allen Road,Billerica,BILLERICA,01821,978-528-8650,"05,06,07",MID,Public Middle,,Billerica,00310000,2368801
57212.6313999966,937045.643399999,180,07150505,Mount Greylock Regional School,1781 Cold Spring Road,Williamstown,WILLIAMSTOWN,01267,413-458-9582,"07,08,09,10,11,12",SEC,Public Secondary,,Mount Greylock,07150000,953637
229524.553800002,880589.479,181,00500017,John F Kennedy School,100 Dedham Street,Canton,CANTON,02021,781-821-5080,"K,01,02,03,04,05",ELE,Public Elementary,,Canton,00500000,2439585
112552.592200004,883584.8594,182,00610020,Bowie School,80 D.A.R.E. Way,Chicopee,CHICOPEE,01022,413-594-3532,"K,01,02,03,04,05",ELE,Public Elementary,,Chicopee,00610000,118623
226544.655599996,944157.013,183,01810050,Comprehensive Grammar School,100 Howe Street,Methuen,METHUEN,01844,978-722-9051,"PK,K,01,02,03,04,05,06,07,08",ELE,Public Elementary,,Methuen,01810000,2062231
325188.680399999,837860.665,184,02240005,Orleans Elementary School,46 Eldredge Parkway,Orleans,ORLEANS,02653,508-255-0380,"K,01,02,03,04,05",ELE,Public Elementary,,Orleans,02240000,1916594
244032.212200001,951046.123399999,185,03290805,The Children's Castle,694 Main Street,West Newbury,WEST NEWBURY,01985,978-363-2919,PK,PRI,Private,,,,2880477
234374.336400002,889794.8112,186,01890410,Charles S Pierce Middle School,451 Central Avenue,Milton,MILTON,02186,617-696-4568,"06,07,08",MID,Public Middle,,Milton,01890000,2788027
95146.0568,895485.972199999,187,06830505,Hampshire Regional High School,19 Stage Road,Westhampton,WESTHAMPTON,01027,413-527-7680,"07,08,09,10,11,12",SEC,Public Secondary,,Hampshire,06830000,965861
244032.212200001,951046.123399999,188,07450015,Dr. John C Page School,694 Main Street,West Newbury,WEST NEWBURY,01985,978-363-2671,"PK,K,01,02,03,04,05,06",ELE,Public Elementary,,Pentucket,07450000,2880477
105243.704599999,869947.076200001,189,00050505,Agawam High School,760 Cooper Street,Agawam,AGAWAM,01001,413-821-0521,"09,10,11,12",SEC,Public Secondary,,Agawam,00050000,2270173
250105.138599999,951088.8576,190,02040030,Edward G Molin Upper Elementary School,70 Low Street,Newburyport,NEWBURYPORT,01950,978-463-8212,"04,05",ELE,Public Elementary,,Newburyport,02040000,3869823
249423.022399999,847952.4366,191,01820505,Middleborough High School,71 East Grove Street,Middleborough,MIDDLEBOROUGH,02346,508-946-2010,"09,10,11,12",SEC,Public Secondary,,Middleborough,01820000,2626881
243006.006800003,884561.673599999,192,00400033,Archie T Morrison School,260 Liberty Street,Braintree,BRAINTREE,02184,781-380-0230,"K,01,02,03,04",ELE,Public Elementary,,Braintree,00400000,2396104
196572.8222,878713.6404,193,01850090,Woodland School,10 North Vine Street,Milford,MILFORD,01757,508-478-1186,"03,04,05",ELE,Public Elementary,,Milford,01850000,4170022
226715.922,939816.498199999,194,04540205,Lawrence Family Development Charter School,34 West Street,Lawrence,LAWRENCE,01841,978-689-9863,"PK,K,01,02,03,04,05,06,07,08",CHA,Charter,,Lawrence Family Development Charter,04540000,2119645
240334.017800003,907479.284200002,195,02480025,Abraham Lincoln School,68 Tuckerman Street,Revere,REVERE,02151,781-286-8270,"PK,K,01,02,03,04,05",ELE,Public Elementary,,Revere,02480000,3533483
109275.076399997,888444.795,196,04790505,Pioneer Valley Performing Arts Charter Public School,15 Mulligan Drive,South Hadley,SOUTH HADLEY,01075,413-552-1580,"07,08,09,10,11,12",CHA,Charter,,Pioneer Valley Performing Arts Charter,04790000,731623
196232.253200002,864289.3572,197,06220008,John F Kennedy Elementary School,200 Lincoln Street,Blackstone,BLACKSTONE,01504,508-876-0118,02,ELE,Public Elementary,,Blackstone-Millville,06220000,2169187
